Ref#,User,DateTime,kV,mA,Duration,Dose,TubeHours,Shelf Pos,Filter#,FieldSizeX,FieldSizeY,Fault
X-Ray Stop,Guest,29-Jul-21 3:16:11 AM,60,20,3600,233.489,281.4,14.5,None,10,10,
X-Ray Start,Guest,29-Jul-21 2:16:05 AM,60,20,0,,280.4,14.5,None,10,10,
X-Ray Stop,Guest,29-Jul-21 1:58:09 AM,60,20,3600,233.502,280.4,14.5,None,10,10,
X-Ray Start,Guest,29-Jul-21 12:58:02 AM,60,20,0,,279.4,14.5,None,10,10,
X-Ray Stop,Guest,29-Jul-21 12:41:20 AM,60,20,3600,232.879,279.4,14.5,None,10,10,
X-Ray Start,Guest,28-Jul-21 11:41:14 PM,60,20,0,,278.4,14.5,None,10,10,
X-Ray Stop,Guest,28-Jul-21 11:16:06 PM,60,20,3600.1,232.625,278.4,14.5,None,10,10,
X-Ray Start,Guest,28-Jul-21 10:16:00 PM,60,20,0,,277.4,14.5,None,10,10,
X-Ray Stop,Guest,28-Jul-21 9:40:58 PM,160,25,28.7,19.374,277.4,14.5,None,10,10,
X-Ray Start,Guest,28-Jul-21 9:40:23 PM,160,25,0,,277.4,14.5,None,10,10,
X-Ray Stop,Guest,28-Jul-21 9:30:48 PM,60,20,181.9,192.727,277.4,14.5,None,10,10,
X-Ray Start,Guest,28-Jul-21 9:27:40 PM,60,20,0,,277.3,14.5,None,10,10,
X-Ray Stop,Guest,28-Jul-21 9:03:26 PM,160,15,120.9,3.949,277.3,59.5,None,41.2,41.2,
X-Ray Start,Guest,28-Jul-21 9:01:19 PM,160,15,0,,277.3,59.5,None,41.2,41.2,
X-Ray Stop,Guest,28-Jul-21 8:54:33 PM,80,15,85.7,0.732,277.3,59.5,Al 0.5mm,41.2,41.2,
X-Ray Start,Guest,28-Jul-21 8:53:01 PM,80,15,0,,277.3,59.5,Al 0.5mm,41.2,41.2,
Logout,Guest,28-Jul-21 8:46:44 PM,0,0,0,,0,0,,0,0,
High kV Warmup,Guest,28-Jul-21 8:39:55 PM,160,9.9,70,2.725,277.2,37,Al 0.5mm,0,0,
Low kV Warmup,Guest,28-Jul-21 8:38:46 PM,80,10,70,0.980,277.2,37,Al 0.5mm,0,0,
Logout,Guest,28-Jul-21 4:23:56 PM,0,0,0,,0,0,,0,0,
X-Ray Stop,Guest,28-Jul-21 4:21:58 PM,160,25,255.3,6.015,277.2,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 4:17:36 PM,160,25,0,,277.2,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 4:12:42 PM,160,25,255,6.020,277.2,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 4:08:21 PM,160,25,0,,277.1,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 4:03:16 PM,160,25,255,6.013,277.1,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 3:58:55 PM,160,25,0,,277,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 3:53:30 PM,160,25,255.6,6.022,277,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 3:49:08 PM,160,25,0,,277,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 3:41:53 PM,160,25,255.2,6.010,277,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 3:37:32 PM,160,25,0,,276.9,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 3:33:24 PM,160,25,255,6.023,276.9,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 3:29:03 PM,160,25,0,,276.8,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 3:26:04 PM,160,25,255,6.016,276.8,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 3:21:43 PM,160,25,0,,276.7,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 3:14:43 PM,160,25,255.3,6.016,276.7,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 3:10:21 PM,160,25,0,,276.7,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 3:06:06 PM,160,25,254.8,6.000,276.7,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 3:01:45 PM,160,25,0,,276.6,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 2:56:31 PM,160,25,255.4,6.011,276.6,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 2:52:10 PM,160,25,0,,276.5,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 2:51:22 PM,160,25,255,,276.5,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 2:51:12 PM,160,25,0,,276.5,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 2:51:02 PM,160,25,255,,276.5,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 2:50:52 PM,160,25,0,,276.5,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 2:44:28 PM,160,25,255,6.017,276.5,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 2:40:07 PM,160,25,0,,276.4,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 2:36:19 PM,160,25,254.6,6.000,276.4,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 2:31:58 PM,160,25,0,,276.4,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Stop,Guest,28-Jul-21 2:26:17 PM,160,25,254.9,6.024,276.4,44.5,Cu 0.30mm,30.8,30.8,
X-Ray Start,Guest,28-Jul-21 2:21:56 PM,160,25,0,,276.3,44.5,Cu 0.30mm,30.8,30.8,
High kV Warmup,Guest,28-Jul-21 2:09:21 PM,160,9.9,70,2.681,276.3,37,Al 0.5mm,0,0,
Low kV Warmup,Guest,28-Jul-21 2:08:12 PM,80,10,70,0.996,276.3,37,Al 0.5mm,0,0,
Logout,Guest,28-Jul-21 2:05:07 PM,0,0,0,,0,0,,0,0,
Completed Warmup,Guest,28-Jul-21 2:04:24 PM,0,0,1200,,0,0,,0,0,
Logout,Guest,28-Jul-21 1:15:33 PM,0,0,0,,0,0,,0,0,
Logout,Guest,28-Jul-21 9:01:12 AM,0,0,0,,0,0,,0,0,
Logout,Guest,28-Jul-21 8:54:53 AM,0,0,0,,0,0,,0,0,
X-Ray Stop,Guest,28-Jul-21 8:36:01 AM,60,20,3600,171.656,275.9,14.5,None,10,10,
X-Ray Start,Guest,28-Jul-21 7:35:55 AM,60,20,0,,274.9,14.5,None,10,10,
X-Ray Stop,Guest,28-Jul-21 7:19:18 AM,60,20,3600.1,171.039,274.9,14.5,None,10,10,
X-Ray Start,Guest,28-Jul-21 6:19:12 AM,60,20,0,,273.9,14.5,None,10,10,
